area_sqft,num_floors,project_type,location_zone,foundation_type,wall_material,roof_type,has_basement,has_parking,quality_grade,soil_type,distance_to_city_center,total_cost
19039.735882944442,19,industrial,suburban,crawl_space,brick,flat,0,1,economy,sandy,46.29772029160518,3061890.880684895
47560.35816729085,8,commercial,rural,pile,steel,hip,0,1,premium,sandy,14.472054851510862,11586545.619994754
36733.70011966455,7,commercial,urban,slab,brick,gable,0,1,standard,sandy,61.93739286373976,7981304.577504525
30133.59496775331,16,industrial,suburban,pile,brick,flat,0,0,economy,loamy,22.356739880999456,4023432.233396486
8222.922701900607,19,industrial,suburban,basement,glass,mansard,1,1,premium,loamy,12.192866894624721,3995183.4920837395
8221.728756642031,6,infrastructure,rural,slab,wood,mansard,0,1,standard,sandy,70.88110926753039,925189.0401443176
3375.1388023258733,11,commercial,urban,slab,glass,mansard,0,0,economy,rocky,2.2735263482850376,623484.7489761924
43375.71921585929,5,residential,suburban,basement,steel,gable,0,0,economy,loamy,36.83659406443098,4520036.763330807
30255.193081288835,16,commercial,suburban,basement,glass,flat,1,1,standard,rocky,14.440327943201858,9466636.629743692
35549.59260090425,7,residential,rural,crawl_space,concrete,hip,1,1,economy,loamy,88.27927019948731,3410526.757523229
1518.9324676422211,5,residential,urban,basement,wood,mansard,0,0,premium,sandy,82.44583961993368,417639.43287790386
48510.537682018716,11,residential,urban,basement,brick,mansard,0,1,premium,rocky,6.052670235951119,17922774.048699766
41705.91071962088,15,infrastructure,urban,basement,glass,flat,1,1,premium,clay,55.04510697401906,24948511.85774115
11010.78597857467,3,industrial,urban,slab,glass,flat,0,0,economy,loamy,29.535554036005664,1512030.6577843877
9500.33587675148,5,industrial,rural,crawl_space,brick,flat,1,0,economy,rocky,19.254553836015198,805054.3465658899
9578.523237744974,5,infrastructure,suburban,slab,brick,gable,0,1,standard,sandy,31.15386361207436,1488516.2658772452
15559.991026497117,9,industrial,suburban,basement,steel,flat,0,0,standard,rocky,81.5887359278987,3499514.2553074104
26475.443365795774,15,infrastructure,urban,crawl_space,glass,hip,0,1,economy,clay,5.785537087787684,6155609.212636721
21881.27842278473,3,commercial,urban,basement,glass,hip,0,0,premium,clay,64.82333840785263,7897387.7965652635
14915.842439803075,6,infrastructure,urban,slab,concrete,mansard,1,1,economy,rocky,91.33701453231224,2141507.64181056
30786.718288757784,17,industrial,suburban,slab,concrete,hip,1,1,luxury,clay,44.80563474064022,17916681.862816565
7404.946102276071,8,industrial,suburban,basement,glass,flat,0,0,premium,loamy,90.15139301883809,2615537.5840870673
14961.160102493299,11,commercial,urban,crawl_space,concrete,hip,0,0,luxury,clay,90.68004290742326,10234823.925296303
18634.91124303774,6,infrastructure,rural,slab,glass,mansard,1,1,standard,rocky,60.959577202245164,3287494.989665081
23075.46421874328,8,commercial,suburban,basement,wood,gable,0,0,economy,rocky,45.58405334386021,2205729.274481535
39366.210088954176,10,residential,suburban,pile,steel,hip,0,1,luxury,loamy,73.76636490277235,21838718.610625263
10383.852216838806,3,infrastructure,urban,basement,concrete,mansard,0,0,economy,loamy,91.62226385415472,1236070.2258748068
25954.604701473774,14,commercial,rural,basement,glass,mansard,0,0,luxury,rocky,68.00353444096659,13480516.302407425
29824.5211586711,14,commercial,urban,crawl_space,concrete,flat,1,0,economy,sandy,20.96071805156613,5585881.203841632
2799.2954296398875,10,industrial,urban,basement,steel,mansard,0,0,premium,loamy,82.00557464538421,1124932.68493952
30573.4701691212,12,infrastructure,rural,pile,wood,hip,0,0,standard,sandy,95.15333598241641,4483554.280953888
8940.94412252093,6,residential,rural,basement,brick,mansard,1,1,premium,clay,41.027487917129434,2026577.787445237
3720.053852771336,12,residential,rural,pile,brick,mansard,0,1,standard,clay,69.7589676883423,621264.6936953875
47469.834094039994,14,infrastructure,suburban,slab,concrete,flat,0,1,premium,loamy,51.81663490357248,16966642.286233637
48298.78563719069,2,infrastructure,urban,basement,glass,flat,1,0,standard,loamy,11.20091869612435,12220179.214271776
40515.668731764825,9,commercial,suburban,crawl_space,steel,hip,0,0,premium,rocky,34.98420142983595,12818984.282179298
15578.381574081848,10,industrial,rural,basement,wood,mansard,0,0,economy,clay,16.382960849248917,1222497.0583899003
5334.769643316002,17,industrial,suburban,pile,wood,gable,0,0,premium,loamy,67.35733583565512,1605769.1198508209
34369.53481235177,17,industrial,rural,pile,wood,mansard,1,1,luxury,rocky,58.20946991329928,15844892.542516489
22287.548440110266,3,infrastructure,rural,crawl_space,brick,gable,0,1,luxury,sandy,3.3534402083629122,6377000.995863642
6540.892624816552,19,industrial,urban,pile,steel,hip,0,0,economy,rocky,6.160691426546194,1558970.7582193331
25011.257050507873,1,commercial,urban,basement,brick,flat,0,1,economy,clay,26.07924822196607,2622793.042865575
2202.231795203311,12,infrastructure,urban,pile,concrete,hip,1,0,economy,rocky,74.48595321432005,384537.70019895595
45511.35990289971,7,infrastructure,suburban,basement,wood,flat,0,1,luxury,rocky,12.683610006049062,16231303.99802876
13309.609089200838,4,industrial,urban,basement,steel,flat,1,1,premium,loamy,20.477410105839468,5056870.2358140545
33294.85307552211,10,residential,rural,pile,wood,mansard,0,0,economy,rocky,90.76263948688718,2569698.005487378
15929.698266425843,13,residential,urban,crawl_space,brick,mansard,0,1,premium,clay,54.61375046024283,7052259.909833683
26243.367048301636,2,commercial,suburban,slab,brick,flat,1,1,standard,rocky,62.084964247721985,3787819.85623546
27562.15882749234,10,industrial,urban,crawl_space,brick,gable,0,0,premium,rocky,45.57661453650794,9567105.004958956
9650.295548513588,4,industrial,urban,slab,wood,gable,0,1,premium,clay,29.977099052089628,2437936.5767093142
48494.439074345646,18,infrastructure,urban,crawl_space,steel,mansard,0,1,luxury,sandy,24.913028532298785,45560567.82429705
38869.07475637517,5,infrastructure,suburban,basement,steel,hip,0,1,premium,sandy,58.92195862613517,9996351.66355182
47005.19760742736,19,industrial,rural,basement,concrete,gable,0,1,luxury,clay,47.09752966009214,23452988.678190857
44793.95384616862,2,infrastructure,rural,pile,wood,flat,1,0,standard,sandy,40.30331235900104,4863807.101899645
30096.048951148714,12,industrial,rural,slab,concrete,mansard,1,0,luxury,rocky,69.4385164354344,12015149.896780219
46132.77463364428,17,commercial,urban,slab,concrete,mansard,0,0,standard,loamy,40.41541582269905,14801333.378672048
4880.378851570015,10,infrastructure,urban,pile,concrete,flat,1,0,standard,clay,3.673038093640768,1434106.8575535582
10201.151689747687,2,industrial,suburban,crawl_space,concrete,hip,0,1,economy,rocky,83.96699333378972,945495.9246815977
2738.750801071634,6,infrastructure,rural,pile,brick,flat,0,0,premium,loamy,31.840344092236716,512701.1946220197
16603.851372781584,8,commercial,urban,crawl_space,concrete,hip,0,1,premium,rocky,94.64017349174132,6488277.611429361
19739.52583962936,19,infrastructure,urban,pile,steel,mansard,0,1,economy,clay,87.95580933107152,4445464.113043035
13931.777072807847,11,industrial,urban,slab,concrete,hip,0,1,economy,rocky,23.391624424314394,2206289.4594590804
41522.5067030205,12,infrastructure,suburban,slab,brick,flat,1,0,premium,clay,96.54710148944436,13778016.062668147
18159.28967133267,9,infrastructure,rural,crawl_space,glass,mansard,1,0,economy,rocky,85.35607594639251,2185393.6947474363
14406.258229525347,2,industrial,suburban,slab,glass,gable,0,0,economy,loamy,98.5016453652259,1583645.3787762185
27363.4561163333,8,residential,rural,slab,glass,mansard,0,1,standard,loamy,67.79484551410803,4896115.495409592
7475.749136250751,11,infrastructure,rural,slab,wood,flat,0,1,economy,loamy,93.07267492442422,602060.1679072473
40208.75054732496,4,infrastructure,urban,slab,steel,flat,1,0,economy,sandy,69.00931220517148,6188816.263758908
4190.256862148655,10,commercial,urban,basement,brick,mansard,0,0,luxury,rocky,85.5093390450891,2514626.847157221
49350.90336172561,16,residential,urban,pile,glass,mansard,0,1,premium,rocky,61.04292926794068,27939927.377962008
38726.11608018454,8,commercial,urban,pile,brick,mansard,1,0,luxury,loamy,92.91743725799621,21828893.75740886
10336.426235941533,4,industrial,urban,basement,brick,hip,0,1,economy,clay,51.80869056294569,1232765.9860891665
773.3447976183188,10,industrial,rural,slab,wood,gable,0,1,economy,sandy,73.65687256591245,62709.66799145744
40865.34070851429,12,commercial,urban,pile,glass,hip,0,1,luxury,rocky,91.69604520931779,34161797.472720295
35489.43852045705,14,infrastructure,urban,pile,concrete,flat,0,1,economy,rocky,42.23901187439013,6825812.728058174
36585.85481802887,16,residential,suburban,pile,brick,mansard,0,1,standard,sandy,2.640207490361146,7727162.497298076
38677.882160954316,18,commercial,suburban,crawl_space,glass,hip,0,0,luxury,sandy,11.304711393745158,28936905.018248986
4165.2102608374735,12,commercial,rural,basement,brick,hip,0,1,luxury,loamy,97.19114417499347,1711649.5418875832
18244.053562941495,18,industrial,rural,crawl_space,wood,flat,0,1,premium,sandy,87.32025412238332,4556129.535128245
6235.518446493921,7,infrastructure,suburban,crawl_space,wood,hip,0,0,luxury,loamy,48.34174397963365,2477980.9952071887
43223.61958084188,7,residential,suburban,basement,concrete,flat,0,0,standard,sandy,96.08994120683175,7338647.5906710215
31353.257277964116,9,commercial,urban,pile,wood,hip,0,0,economy,sandy,18.560554577562204,4323741.459248785
16879.452230206134,1,residential,urban,crawl_space,glass,gable,1,1,luxury,rocky,11.096636749719458,9274621.511542495
3646.13833915817,6,residential,rural,pile,wood,flat,0,0,luxury,loamy,60.144007791531465,1047949.1009016221
15893.62492492528,6,commercial,suburban,crawl_space,concrete,gable,0,1,premium,sandy,38.21202970347808,4423172.76901464
16596.57444032398,12,residential,rural,pile,steel,hip,0,0,premium,sandy,33.976963595700674,5081405.104650959
36615.505827734174,12,industrial,urban,slab,brick,gable,0,1,economy,rocky,73.41518951648115,6369007.08007272
32059.09483208305,10,infrastructure,rural,slab,brick,gable,0,1,luxury,clay,15.001313492029277,12258576.561837314
44417.03075752816,6,infrastructure,rural,slab,glass,gable,1,0,standard,rocky,77.84490227901158,7665927.641405237
23874.63879551649,17,infrastructure,rural,basement,concrete,hip,0,0,economy,loamy,35.944961593419656,3053389.9357377314
6419.915173945934,19,industrial,urban,slab,concrete,flat,1,0,standard,clay,98.67375579587303,2296415.34706897
35805.616967538255,18,industrial,rural,crawl_space,concrete,hip,0,1,luxury,sandy,80.87460868985846,17298048.724903684
38158.859906536425,6,industrial,urban,pile,brick,hip,0,1,economy,loamy,64.62235620980958,5302833.026738242
28283.221279690064,19,infrastructure,suburban,pile,wood,hip,1,0,premium,clay,22.944626993410555,10492427.769013949
38662.87540775077,10,residential,rural,pile,brick,flat,0,0,premium,loamy,95.6426460013974,8883103.01011368
24942.88202003734,8,industrial,rural,pile,brick,mansard,0,0,standard,rocky,3.2910039767100163,3475827.5376748987
26375.275054408707,6,commercial,urban,crawl_space,brick,hip,0,1,economy,clay,22.334978000933404,3708985.7456877567
21663.280408748207,7,industrial,rural,pile,wood,hip,0,0,standard,clay,3.6775709037120907,2582003.103355521
1758.2467738327118,1,commercial,urban,crawl_space,steel,flat,0,1,premium,clay,96.65161797418197,484717.83374361513
5840.62563616857,18,infrastructure,rural,crawl_space,glass,mansard,1,1,luxury,sandy,87.1449519646026,3561670.97168356
2055.7446914933453,12,commercial,suburban,pile,steel,mansard,0,1,premium,rocky,95.21076658014029,770525.0587440372
32002.31535755713,16,industrial,suburban,pile,steel,mansard,1,0,luxury,clay,71.50349857665893,21360228.883816674
16060.62106327817,10,industrial,suburban,pile,brick,mansard,0,0,standard,loamy,2.7424065796798236,3168821.0204647803
25674.249212652787,10,residential,rural,crawl_space,steel,flat,0,1,standard,sandy,93.15020403256345,4129161.1785370973
